AQI_ID,Location_ID,country,date,state,city,station,latitude,longitude,pollutant id,pollutant min,pollutant max,pollutant avg
A1,L1,India,31-05-2026,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.54,80.59,SO2,0,0,0
A2,L1,India,31-05-2026,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.54,80.59,OZONE,37,42,42
A3,L1,India,31-05-2026,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16.49,80.7,NO2,28,36,29
A4,L1,India,31-05-2026,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.51,80.61,NO2,20,34,28
A5,L1,India,31-05-2026,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.51,80.61,CO,23,36,30
A6,L1,India,31-05-2026,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.55,80.65,PM2.5,63,305,76
A7,L1,India,31-05-2026,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.55,80.65,SO2,0,0,0
A8,L2,India,31-05-2026,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,PM10,80,180,120
A9,L2,India,31-05-2026,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,SO2,2,33,14
A10,L2,India,31-05-2026,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,OZONE,15,72,50
A11,L3,India,31-05-2026,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",27.1,93.68,SO2,11,12,11
A12,L3,India,31-05-2026,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",27.1,93.68,CO,8,14,10
A13,L4,India,31-05-2026,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.07,91.87,PM10,88,171,114
A14,L4,India,31-05-2026,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.07,91.87,NH3,4,4,4
A15,L4,India,31-05-2026,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.07,91.87,SO2,12,32,31
A16,L4,India,31-05-2026,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.07,91.87,CO,39,64,57
A17,L4,India,31-05-2026,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.07,91.87,OZONE,19,45,23
A18,L5,India,31-05-2026,Assam,Guwahati,"IITG, Guwahati - PCBA",26.2,91.7,NO2,1,3,1
A19,L5,India,31-05-2026,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26.11,91.59,NO2,14,16,15
A20,L6,India,31-05-2026,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",21.22,81.63,NH3,2,2,2
A21,L6,India,31-05-2026,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",21.22,81.63,CO,15,52,26
A22,L6,India,31-05-2026,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",21.24,81.71,PM10,23,113,53
A23,L6,India,31-05-2026,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",21.24,81.71,NH3,0,0,0
A24,L6,India,31-05-2026,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",21.24,81.71,OZONE,20,215,168
A25,L6,India,31-05-2026,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",21.37,81.66,PM2.5,10,86,43
A26,L6,India,31-05-2026,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",21.37,81.66,PM10,16,125,70
A27,L6,India,31-05-2026,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",21.37,81.66,NO2,0,0,0
A28,L6,India,31-05-2026,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",21.37,81.66,SO2,1,53,15
A29,L6,India,31-05-2026,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",21.37,81.66,OZONE,3,51,11
A30,L7,India,31-05-2026,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",22.07,83.34,NO2,0,0,0
A31,L8,India,31-05-2026,Delhi,Delhi,"Alipur, Delhi - DPCC",28.82,77.15,PM2.5,32,147,54
A32,L8,India,31-05-2026,Delhi,Delhi,"Alipur, Delhi - DPCC",28.82,77.15,PM10,57,360,102
A33,L8,India,31-05-2026,Delhi,Delhi,"Alipur, Delhi - DPCC",28.82,77.15,NO2,16,30,24
A34,L8,India,31-05-2026,Delhi,Delhi,"Alipur, Delhi - DPCC",28.82,77.15,SO2,4,15,9
A35,L8,India,31-05-2026,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.65,77.32,CO,42,42,42
A36,L8,India,31-05-2026,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",28.7,77.18,PM2.5,13,68,44
A37,L8,India,31-05-2026,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",28.7,77.18,OZONE,13,54,27
A38,L9,India,31-05-2026,Bihar,Munger,"Town Hall, Munger - BSPCB",25.38,86.47,PM10,27,101,50
A39,L9,India,31-05-2026,Bihar,Munger,"Town Hall, Munger - BSPCB",25.38,86.47,NH3,3,3,3
A40,L9,India,31-05-2026,Bihar,Munger,"Town Hall, Munger - BSPCB",25.38,86.47,SO2,14,81,43
A41,L10,India,31-05-2026,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11,85.4,PM10,53,147,97
A42,L10,India,31-05-2026,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11,85.4,SO2,4,9,6
A43,L10,India,31-05-2026,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.14,85.37,PM10,53,62,60
A44,L10,India,31-05-2026,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.14,85.37,SO2,8,20,11
A45,L11,India,31-05-2026,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",25.59,85.04,NO2,29,35,32
A46,L11,India,31-05-2026,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",25.59,85.04,NH3,9,10,9
A47,L11,India,31-05-2026,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",25.59,85.04,SO2,5,8,6
A48,L11,India,31-05-2026,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",25.59,85.23,PM10,93,110,103
A49,L11,India,31-05-2026,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",25.61,85.13,CO,6,30,6
A50,L11,India,31-05-2026,Bihar,Patna,"Muradpur, Patna - BSPCB",25.62,85.15,NO2,5,6,5
A51,L11,India,31-05-2026,Bihar,Patna,"Muradpur, Patna - BSPCB",25.62,85.15,NH3,4,5,5
A52,L11,India,31-05-2026,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",25.6,85.11,SO2,6,12,9
